"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"37","Bonaléa",156246.671991394,0.0941071428571428,0.0208803390887875,0.17292398423884,2.50137549179144,88614.7017425726,125057.087773526,153404.95291966,186787.315391657,223705.825119982
"38","Bourrah",57361.288677038,0.917676399577914,0.378703149741259,0.195793715661476,2.65850947401138,34546.1589687725,42395.0452588337,53338.7932275647,68795.2271413594,86507.6888273143
"39","Buéa",280379.101799809,0.00380562845630813,0.000380404686806197,0.181030095428346,2.56334729459917,166400.201345961,216258.447892077,274403.264314323,337053.61231922,400051.871062199
"40","Campo",221381.223087343,0.0277777777777778,0.00336943606544179,0.194553760980673,2.74650838888184,120158.119280274,165427.409768781,215012.1063124,269484.420762669,329245.136994297
"41","Dargala",44468.6503814227,0.991111111111111,0.507658942970093,0.149629931308811,2.10603874312606,30623.3710083288,35401.5473879745,42330.0857708144,51052.4833438375,61717.2592394354
"42","Demsa",97642.0444010102,0.536923076923077,0.23334680471768,0.327666967392933,5.16454002490307,35818.849188842,46047.814496201,81486.7151652011,142103.261477062,182067.474014538
"43","Deuk",93914.3837885687,0.524107142857143,0.137058774654054,0.201770162307581,2.76571637551872,53993.4669288726,66907.2788590926,88294.8558702561,116181.117496081,144801.439363175
"44","Dibang",131463.427048691,0.316964285714286,0.0791916072903054,0.261624653447746,3.82520998504692,59104.0693130486,82233.8647666082,115867.952196149,175261.567706593,226394.542590695
"45","Dibombari",206814.645601263,0.0446428571428571,0.00686715039949327,0.193609547730119,2.77883033536292,110169.631998022,156338.087313014,201483.405423981,251695.367732711,308208.986965008
"46","Dir",41556.549003187,0.984448551764702,0.543240817983817,0.177188442963953,2.41209420905499,26894.8555095448,32116.0015990378,39156.9776362215,47578.1669456456,57738.452825529
"47","Dizangué",169946.094234462,0.0742,0.0110277799378286,0.186979970504603,2.64682305018963,98723.7341702458,130436.900861182,164713.012179515,202242.53003472,245838.07549195
"48","Djohong",71082.9088527485,0.790434782608696,0.311210501898961,0.25854603674263,3.57864271414027,39723.1611504094,45773.8818415916,58855.5026685952,84576.3097428969,120733.889319554
"49","Douala1",268787.851633943,0.0080520090612776,0.00169274360390005,0.188508066389807,2.61112482909218,163831.323112899,204134.64764899,256840.474497858,320227.251578871,390183.538671777
"50","Douala2",245874.344461935,0.0189875523535975,0.00323395154689508,0.20472347596626,2.89542559640508,138031.542290829,182442.807067299,235229.61487372,297351.540396922,365081.626311459
"51","Douala3",284618.346232251,0.00113710978936731,9.52777466857267e-05,0.196135000134567,2.67769555345051,170900.029960627,211014.999355496,266990.642130329,340435.051533508,422186.613541972
"52","Douala4",289598.438095194,0.00314010611510138,0.000303129411871845,0.194579562729025,2.74291021599678,165831.95123388,217525.141487638,279755.752649019,350338.394815249,423345.68331322
"53","Douala5",301032.45336827,0.0028244032366914,0.000320490738931216,0.196335818245595,2.69816040701953,180023.557474331,223223.38233408,283276.418519203,363002.380036705,447832.571624768
"54","Doumé",138453.233419079,0.249464285714286,0.046096893361824,0.252171662670256,3.51844413552039,72649.449404627,90875.6073894528,119710.762823322,164535.619550409,238651.361086816
"55","Doumétang",105226.142688875,0.52125,0.124342392131447,0.254087959105712,3.4985170063668,56764.0126794828,68943.6384622173,88488.140338998,122276.922336478,188889.74053949
"56","Dschang",208536.354014919,0.0974268671577595,0.0176013876629879,0.253171297859079,3.87662918502949,92290.6409661068,130798.116865916,202090.139030399,270492.251480263,334531.389454153
"57","Ebebda",127861.272391695,0.261428571428571,0.0605797430888317,0.233490005939243,3.35012671957893,64656.4702446924,89782.3451080471,116927.012118005,153227.683958195,204979.64286115
"58","Ebolowa1",228668.562780238,0.0414111707970516,0.0057242794398287,0.25892791908377,3.72657675140194,112260.306222201,149599.581172383,202095.263643702,285549.422592752,387820.092357709
"59","Ebolowa2",191024.64873728,0.192201051153237,0.0442921363107457,0.313515311035755,5.09655662074405,73007.7058922617,103427.728384706,165360.939536465,256314.437349729,343018.047353583
"60","Edéa1",262456.905966843,0.0102427232280129,0.000998874638399535,0.191963439983292,2.68328897472453,155985.617270961,200355.301443659,251432.696423313,311591.933481362,383036.851048996
"61","Edéa2",176453.906606003,0.123950313441509,0.0333269961737041,0.239459571391844,3.57936586637188,80495.8121722548,123867.951984402,166350.749134949,222172.413773088,278982.97334878
"62","Efoulan",83615.4930478082,0.675185185185185,0.189266203051859,0.201216206496969,2.70032991720622,50474.0264084025,59922.6071014397,75697.4658717449,100349.788558369,131748.00829329
"63","EligMfomo",125590.215304873,0.268888888888889,0.0560254220699734,0.210232328455273,2.8985276977354,69096.4502518893,89287.0970246978,116608.538782477,157193.976042185,197380.972950707
"64","Endom",97550.8191569812,0.596607142857143,0.167689939736392,0.277453804830481,3.89555322838776,49936.0631279303,61865.8354827225,81025.7597237418,108763.964286358,162158.399724173
"65","Eséka",221311.178428828,0.0133333333333333,0.00157295530400692,0.164395516004935,2.32678036133969,137809.700189042,174914.682218052,217472.870036248,263387.834961213,312370.643019064
"66","Esse",157210.368438229,0.143269230769231,0.0299435467104957,0.227583373705976,3.16546722546192,79679.3085212155,112437.708086487,146459.620621661,186061.360027371,248029.293956687
"67","Figuil",42351.7631841082,0.996428571428571,0.530361352847947,0.148660402935752,2.12757816970169,28455.7330747261,34057.9857936455,40788.0988098311,49285.2966626994,59465.7284657718
"68","Foumban",218821.409104372,0.0143259708112077,0.00164612911351186,0.201454299781651,2.74201015558529,133188.970359412,161646.382781298,202539.724897043,256675.825221664,328748.336750484
"69","Foumbot",133275.951887415,0.416577361683716,0.135944811247708,0.333232710399396,5.53496865494788,48504.2596167781,64732.7097340082,111018.436219623,185857.010611586,250400.248904174
