"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"25","MayoRey",61451.9763510469,0.839743162278554,0.41556071150166,0.324120694692186,4.68619834526635,29068.8279649367,35974.3500582669,46509.3214829768,66941.9623482569,121291.418850678
"26","MayoSava",56407.48098289,0.911237863548995,0.4126885048389,0.234757807188367,3.09810494861487,33095.9693391838,39529.3643723816,48866.8418408366,62786.5647613357,86548.0356786485
"27","MayoTsanaga",75114.0467321697,0.750478545226639,0.293134151746614,0.285080471773049,3.98412676550984,37515.076601015,46424.308242477,61056.8570207526,90115.2269291455,137171.65657954
"28","MbametInoubou",125978.277211226,0.442160416679833,0.116960645827061,0.321331515919969,4.73556850261615,55330.2242584722,69255.4972155603,98703.8379547822,160208.670363757,233269.632457343
"29","MbametKim",124945.273749412,0.364417963321193,0.0865003991514231,0.268546703500327,3.7586618128097,61626.8816816734,76651.8703751072,108514.580979008,156342.632253632,212371.077148852
"30","Mbéré",118718.336380925,0.503137090808127,0.213382041181954,0.388732779501516,7.25158895424444,36983.401151023,49154.2477112142,89557.531868165,166848.605137232,245230.481524015
"31","MefouetAfamba",185049.970520783,0.134418094893674,0.0337238184685383,0.272370710567373,4.18474160450404,80014.1920590243,117421.070057792,167894.867921914,239780.791969998,313182.394543112
"32","MefouetAkono",115367.12143218,0.378132415897794,0.0815078395726129,0.23430460489438,3.2200753300503,63610.4732752253,78936.0022207477,103012.002935663,137793.386531862,183092.993041417
"33","Meme",253812.573975898,0.000381816040847881,2.22079156852924e-05,0.183925936399899,2.49410622694971,159614.829601763,190849.958071406,237553.90565507,299799.025533833,372835.185995636
"34","Menoua",162934.077468988,0.242073618871178,0.0498580951865358,0.304672582245018,4.56028986538043,70806.7007190161,91301.0694693102,133989.741949751,218705.236836465,296628.817410528
"35","Mezam",224732.683991517,0.0573799495795239,0.0117995049386966,0.244827298435101,3.62328812080347,108375.056920839,153409.490299471,210274.039487578,279849.220994582,358402.888015083
"36","Mfoundi",270585.933748174,0.005956052968614,0.000713036742264381,0.206841883741245,2.85870604067514,155896.653980836,197982.351997164,254055.71947713,325477.597786389,407144.546273614
"37","Mifi",199777.196849653,0.175902735588393,0.0513351010128066,0.28436916838973,5.17989517819892,67301.6789802549,123139.18471476,194737.462089979,257896.175390848,330463.157887619
"38","Moungo",159519.731901649,0.177794712047825,0.0461014496147333,0.251285730833266,3.85310766654716,70967.3292770147,105984.295160761,152329.073477713,200714.493700307,252483.570896445
"39","Mvila",201151.788107526,0.163065642221809,0.0360858442989793,0.316310707055941,5.23086868461335,76110.9405192297,110624.148427132,174244.911340476,261449.91018543,368589.631997911
"40","Ndé",183125.152061666,0.136027102574766,0.0252031210170116,0.277215303489353,4.0960262102466,84454.5610165512,111284.82227216,161363.123495649,237765.708362527,320427.246376344
"41","NgoKetunjia",118601.174088227,0.461183491146991,0.124049247090175,0.305984455794077,4.41448938995956,54908.64260548,68086.6561495332,95538.2619772811,148650.119014103,209596.032827559
"42","Nkam",125616.723543298,0.389516789319577,0.0909643878749291,0.278686724213037,3.96968961669493,60594.0860059671,75868.0086241534,105984.224748254,159484.27748802,224269.164835811
"43","Noun",156031.31969347,0.2785970876506,0.0783100870616759,0.304490871684094,4.99161178526914,58728.9156632085,84897.4598778622,143107.705417447,208620.849330129,268739.448423037
"44","NyongetKéllé",200726.326558483,0.105924953331006,0.0259363083324972,0.237717747347691,3.71581762619284,88669.0880695728,139645.79147332,196768.895542875,254067.671155698,311484.933215945
"45","NyongetMfoumou",110180.894474214,0.560688209265106,0.182168188009101,0.340840444882792,5.0641137679592,47647.5002199862,58094.6534717388,81337.2978495229,142019.457748162,216895.574032244
"46","NyongetSo'o",235825.256710672,0.194759899298576,0.051116077704026,0.322882431677244,6.5415754887775,67943.3580247355,113343.392152774,229067.585989148,319942.985511122,418180.708295292
"47","Océan",232246.498341496,0.085964343131162,0.0239323607312708,0.254502667158916,4.01373760471044,100379.096155928,161233.1093189,218708.448718245,291770.545454102,372443.560591909
"48","SanagaMaritime",195734.069741891,0.130632716588573,0.0300816407062986,0.276594190513499,4.33914511865935,81543.2257251628,120912.14568311,180367.052697414,253497.978841789,326091.978556703
"49","ValléeduNtem",145784.772096515,0.351634120847846,0.0817298247091786,0.324360619608008,4.86732599309001,61911.935967266,78093.8418685833,114489.540713504,192293.323800723,273234.26212795
"50","Vina",135342.607508375,0.375299841197397,0.123944715332083,0.327441762228433,5.53478921643267,48531.9492137896,68963.3749019733,117862.204810253,183959.183985072,246976.896252296
"51","Wouri",276525.149568611,0.0066461852079721,0.0011214088943692,0.200806756909547,2.78372943518783,161886.752075725,205217.866598231,261794.293540914,332095.254773765,410360.189756316
