"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"40","Campo",466637073.251052,0.000969574931412894,2.7807264987535e-05,0.000495143426291535,0.103222126913279,264866907.63751,357224766.328051,547756200.949335,916190783.293133,1679784889.21672
"41","Dargala",31769630.6396341,0.00236212345679012,0.00312479971074268,0.000462827873684648,0.0489870098460242,18111476.0982745,22743807.1766639,30829623.1000602,53900340.7750679,112653756.982667
"42","Demsa",125310915.932263,0.00327494693047337,0.00106812565187849,0.000440337873123648,0.361090039923309,24329244.4030962,31541346.2576925,141093584.148818,356802352.590569,628643717.249728
"43","Deuk",72654264.4562225,0.010281470184949,0.001956478551688,0.000512551290229856,0.103740531256606,40985861.9115865,54933396.5787315,75952902.0349701,138163911.498664,288780432.859953
"44","Dibang",174011283.530457,0.00814397193877551,0.000753970565924539,0.0005215381472187,0.206265415800951,73586188.9535736,108677370.767581,198920213.372389,431839977.065181,854444200.498912
"45","Dibombari",467438898.967581,0.00103699665178571,3.48052464059658e-05,0.000416918856430706,0.100038308148624,279635217.758563,382018585.967904,583061873.547126,924181891.79708,1662012446.352
"46","Dir",23431652.3202511,0.000520787621409303,0.00246498308927196,0.000292861736513591,0.0427385541706337,16218727.1945343,18889525.0381866,22811560.7430413,33404490.2545624,63533197.4746055
"47","Dizangué",253007656.771361,0.0025691468,0.00012545801495422,0.000459741149592392,0.0952805325060517,176247213.996858,187600557.807459,299376186.814228,440457053.775798,840008331.241338
"48","Djohong",80858812.3114392,0.00507867462192817,0.0038830656794438,0.000821989061184985,0.229556882162193,35263016.2400731,44652929.054012,76434031.1640274,168552701.68571,422677625.710059
"49","Douala1",101890306.357689,2.44711188317548e-05,1.21222819662742e-06,8.02580652875241e-05,0.0152242658993006,66797079.4754974,80373070.1379885,111404829.482608,172913382.412733,365087170.337456
"50","Douala2",112748506.585399,0.000119999343737376,4.96798467033859e-06,0.000134230337224686,0.0275793316695171,78724637.4290364,94517746.4045837,129129144.633907,199157881.835808,489815334.166683
"51","Douala3",76062847.1607444,6.29656032190369e-06,1.0511539504523e-07,5.50474908935586e-05,0.00945707896269706,44146994.7857554,52724549.5046768,70742495.43423,132146711.022611,285885543.633492
"52","Douala4",197239857.036197,6.38665453757493e-05,1.32433624748306e-06,0.000130366724539465,0.0295842117663382,147055114.61512,166813239.182238,220241123.573571,359563530.050221,744524113.157638
"53","Douala5",292069189.95995,2.43427878415026e-05,7.07725127700479e-07,0.000154704642488829,0.0278859976754262,174886048.169166,195097300.231556,291801822.767342,478611126.533364,1039931948.94612
"54","Doumé",238544680.642811,0.0124922710459184,0.00105566090902323,0.00071397806762791,0.220601424891652,93561083.6856924,114610323.057062,214136321.714545,469541963.547153,1297326602.86593
"55","Doumétang",65193233.8103138,0.00623613950892857,0.00171882470875377,0.00060072723354773,0.182386605311053,35365398.9760862,36394002.7599847,57412576.7351411,161012976.964294,555788776.62944
"56","Dschang",252841232.644857,0.000867365072093677,5.27980000752194e-05,0.000150407826115891,0.0681214266858503,72963546.4307068,148360347.737215,334948277.483384,565146855.43029,998384355.176809
"57","Ebebda",124110246.125109,0.00885336702806122,0.000717904229523861,0.000528668099467891,0.142271746573272,62549756.5610615,76642417.2941199,130643207.32201,254779037.489918,618339412.581344
"58","Ebolowa1",155527243.686312,0.000491511989350048,2.29517030032077e-05,0.000236253072983788,0.0736245443828571,58893158.4566874,89867486.0748484,154251082.59448,334058190.61924,932848003.227331
"59","Ebolowa2",281601123.169873,0.00227340460438923,0.00027853110017988,0.000253778001155575,0.208215359036973,62033882.0222244,104586482.60786,298484392.252597,656562183.322246,1485852964.19532
"60","Edéa1",309846524.414638,0.000126009188689712,3.44452549654976e-06,0.000138350113881173,0.0258448961194296,186329837.577932,244126285.797764,333103031.432262,524067137.887455,1036736155.89176
"61","Edéa2",166543841.727582,0.000729996647239262,8.07321715548487e-05,0.000254076744032568,0.0884671996737012,84892467.5198026,130267893.687896,215466559.381264,406204543.78453,678590444.126012
"62","Efoulan",55273313.0080271,0.00594216958161865,0.00302627104531091,0.000483373639601742,0.0810787619589438,27936703.5590421,34526440.5023927,54938242.9018955,119161620.349604,277521669.438308
"63","EligMfomo",166058423.581358,0.012806609739369,0.000980293411649847,0.000555987537236896,0.118674288573262,91461434.4158557,99532361.1312406,173427895.756164,346338632.891324,683196212.950398
"64","Endom",85174400.224477,0.00785985554846939,0.00142778318029122,0.000662905777173121,0.241884266513909,39955795.4642605,42414315.5430088,72293798.5589805,138351627.50669,786706355.032088
