"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"12","HauteSanaga",61329702.2663911,0.00114579376489233,0.000253727745041857,0.000162006951659263,0.133141321429878,13157455.3384019,25732704.009227,73331075.6561399,195145604.790998,393174432.228481
"13","HautNkam",89517779.3755222,0.000661117756929632,4.31417816765396e-05,0.000124424389156133,0.043368838703677,31068620.5892918,49029076.146862,104897776.559621,199590101.025727,382950004.875785
"14","HautNyong",14018048.5952934,0.0008262590197767,0.000315405693566889,0.000113085542314727,0.0413842027770696,5423583.32690669,6164898.52022986,10879681.7761388,33015642.8719396,118731872.212778
"15","HautsPlateaux",101852063.270077,0.00278213440332922,0.000190447226127647,0.000265641363879117,0.105826698274987,48352515.4056688,60609188.3897008,128540443.974589,241554445.827396,625467587.165197
"16","Kadey",20888956.5786903,0.000771620052970749,0.000319750955121022,0.000111661419435141,0.0623182258562397,6282534.49726218,6409532.29100198,14678585.761419,46679504.9217967,167482584.670572
"17","KoungKhi",119613963.725063,0.00430996130948966,0.000308052409073528,0.000316281773201693,0.122219172464243,51037883.6184731,71956996.0927769,140110541.704824,325967914.259343,654004245.904832
"18","Lekié",33931928.0003903,0.00129869950841127,0.000169883495093178,8.32297531750126e-05,0.0418554227567995,10548252.9770914,15254405.6299865,33118699.437765,73344144.8920627,169681656.225296
"19","LogoneetChari",15393512.0476546,0.00119243669531869,0.000488092686287181,0.000108341713532835,0.045210618923941,7050695.45227124,9720775.24162306,13660846.2201984,37372631.917489,77876320.0195414
"20","LometDjerem",37478308.4097922,0.000283276828912233,8.91603652351733e-05,5.47247093343544e-05,0.0700405263861992,5693786.6616789,10435360.0068204,43894429.1433486,101254901.744492,218678860.711613
"21","MayoBanyo",20588204.2029077,0.000741836378259999,0.000421766425646378,0.000128413219980045,0.0890659751478683,6160825.42085677,8286305.85972585,18134165.5109397,54879933.4478464,175870431.32697
"22","MayoDanay",11648921.6419666,0.000382162081737111,0.000497116998991922,0.000140489678112826,0.0612227705503216,4869641.66058622,5208167.41611697,7655078.01429098,15285471.6743374,112169309.158155
"23","MayoKani",21863664.4486912,0.000285993918357614,0.000767677343014209,0.00018394170403968,0.114445077485737,7257476.41223857,9083408.43933479,13698111.2166501,36205690.8679226,201545853.294799
"24","MayoLouti",17611681.7270108,0.00067142898614608,0.000457084534757671,0.000125202462058575,0.0944121706630967,4985807.19136901,6427494.09949548,11287026.3708931,38542652.2153443,143833238.684523
"25","MayoRey",10594024.2239137,0.00045635923199468,0.000421885036243979,0.000110562809884238,0.0611045686542338,5024170.75906792,4852721.52675735,7552369.30230218,22499473.4633202,122233622.923069
"26","MayoSava",7504619.22666337,0.000697982150198841,0.000438019528459353,0.000132337918356863,0.0306065986119078,4885918.93663502,5058727.44596405,6546342.09808479,15127980.598188,46468503.025169
"27","MayoTsanaga",15780261.7731415,0.00103334843454946,0.000353885091586938,0.000141356966925564,0.0504319661546707,5339980.21977215,6396432.82173088,13053461.3954283,32336280.1972263,127440916.029905
"28","MbametInoubou",50597889.4680189,0.00193280974911124,0.000368755665910365,0.000153869097494675,0.0888756322779518,11127462.2861022,15175633.5810435,42390913.4368765,117179500.040008,331359088.834284
"29","MbametKim",50294040.9112356,0.00278175843435293,0.000593911439363691,0.000221136510909,0.0900244518195514,25751380.8872147,32340523.1895472,53826844.2082622,122609823.053854,288958345.948732
"30","Mbéré",71614293.5898234,0.000679925166552136,0.000354651938594694,0.000192361643468588,0.320235654825358,9708052.86708941,15547662.1894682,48919014.2410164,179879163.011003,648040342.920097
